"Table D1.13.13: Perceived level of difficulty with transport, by whether provided support to relatives living outside household, Indigenous persons aged 15 and over, 2014–15",Unnamed: 1,Unnamed: 2,Unnamed: 3
,Whether provides support to relatives living outside household,,
,Provides support to relatives outside the household,Does not provide support to relatives / no relatives outside the household,Total
Perceived level of difficulty with transport,%,,
Can easily get to the places needed,50.8,49.1,100
Sometimes have difficulty getting to the places needed,45*,56*,100
Often have difficulty getting to the places needed,49.3,50.7,100
Can't get to the places needed,44.3,55.9,100
Never go out / housebound,35†,65,100
Total,49.5,50.6,100
"* Represents statistically significant differences at the p<0.05 level. For perceived level of difficulty with transport, ""Can easily get to the places needed"" was used as the reference category.",,,
† Percentages have a relative standard error between 25% and 50% and should be used with caution.,,,
Notes:,,,
1. Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,
2. Continuous variables in this table have been randomly adjusted to avoid the release of confidential data.,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2014–15.,,,
,,,
Link to Contents,,,
